NumAgrupaciones / Ident / TiempoCompresion / TiempoInsercion
2940 / TBAI-20662428X-150221-V//D7JE1zdAlI-148 / 399.18449997901917 / 109.04149997234344
2950 / TBAI-96435799L-220121-SBit6eq2M8xPX-035 / 397.178200006485 / 111.0242999792099
2960 / TBAI-78991387A-050121-AQUuMeYcZWVSa-250 / 401.7872000336647 / 111.66619998216629
2970 / TBAI-51220643B-120121-WZ2/miZKEI9yk-021 / 405.4998000264168 / 110.29069995880127
2980 / TBAI-94562031S-120121-aEc7DGBs+FywB-198 / 406.38240003585815 / 111.42030000686646
2990 / TBAI-89501937J-120221-w7h2bIcCVfzlg-173 / 407.1549000144005 / 110.26850003004074
3000 / TBAI-29654149L-140121-oH0sppl/ry+NM-213 / 411.7766999602318 / 112.12009996175766
3010 / TBAI-56129925N-130221-H43FTHGlr+ZPI-107 / 408.1958999633789 / 126.45590001344681
3020 / TBAI-85692624Y-100121-I0iJz6kdUf9qo-052 / 407.39609998464584 / 127.48729997873306
3030 / TBAI-15835083C-160121-UniW3/4Rtvjhk-009 / 411.2828000187874 / 117.24269998073578
3040 / TBAI-55236203R-160121-WN0FoX2cM6ZEw-177 / 413.5626999735832 / 119.41619998216629
3050 / TBAI-51822556Z-140121-vVMTUOJtLPO1x-139 / 416.7684000134468 / 128.01150000095367
3060 / TBAI-33371423X-100221-qgqswHOeo/vnG-193 / 409.7436000108719 / 129.6259000301361
3070 / TBAI-36094394B-030221-Rtqf75tCIEyVb-156 / 450.95950001478195 / 127.52300000190735
3080 / TBAI-53128970M-280121-JatSLb1AoOm/9-185 / 413.47839999198914 / 127.65170001983643
3090 / TBAI-15756292G-080221-d/oWyKmEJa61q-094 / 414.9238000512123 / 140.50310003757477
3100 / TBAI-59461558A-130221-x9p24vyBIj8Oy-075 / 420.6506999731064 / 129.47699999809265
3110 / TBAI-75641198V-160121-CfBGJb/WvgFCd-185 / 420.7242000102997 / 140.94959998130798
3120 / TBAI-69132227T-210121-p2q5HMI3a/Jks-176 / 421.5047000050545 / 130.99099999666214
3130 / TBAI-58015413Y-020221-tPMz52igsk5lY-208 / 420.10839998722076 / 122.49260002374649
3140 / TBAI-02208057B-120121-S1/KBQR+gJJe/-151 / 426.1793000102043 / 128.11019998788834
3150 / TBAI-81498632H-100221-LOyocXqAl5nqI-161 / 427.050400018692 / 115.31139999628067
3160 / TBAI-88124646P-200121-KFlMoTg+vcREr-089 / 424.1826000213623 / 127.00459998846054
3170 / TBAI-27511792C-140221-WNP2a/ShLI3/P-195 / 428.64649999141693 / 148.9095999598503
3180 / TBAI-38142663S-250221-hUE1AO8V49kvH-020 / 428.1895999908447 / 128.8373999595642
3190 / TBAI-25107655G-230121-H5EGZ+u0MOh3t-014 / 430.44559997320175 / 132.91159999370575
3200 / TBAI-66360062W-270121-hj5so6tfluX13-139 / 431.16879999637604 / 128.03220003843307
3210 / TBAI-67901733Y-270121-fJSPfG6CCtvXK-128 / 433.03329998254776 / 123.10670000314713
3220 / TBAI-85276783M-300121-q0F53sHahI6TB-163 / 438.59610003232956 / 130.11070001125336
3230 / TBAI-57919694J-130121-EDkwNLuWqsX/E-173 / 449.5450000166893 / 116.90790003538132
3240 / TBAI-53815602H-060121-xUUUCYgxiaH+R-187 / 438.25419998168945 / 167.58660000562668
3250 / TBAI-86102348P-300121-P+O8OcJWTgn1g-183 / 433.33069998025894 / 122.37450003623962
3260 / TBAI-75434042E-210121-Ra2DYIMXTfWcd-236 / 439.8736000061035 / 134.69150000810623
3270 / TBAI-42700038D-070221-ouJqIAohghjBz-104 / 437.60140001773834 / 121.1162999868393
3280 / TBAI-67014634V-210221-vI487RZ74kJBj-158 / 442.0587999820709 / 126.95620000362396
3290 / TBAI-68781899P-200121-tP+f+TFpxDaTF-206 / 447.3096999526024 / 116.7529000043869
3300 / TBAI-38466208L-220221-uxGqOw4yxNX/O-069 / 443.0710999965668 / 161.059199988842
3310 / TBAI-56123417J-250121-qhwLtflnN8vmD-192 / 447.69629997015 / 123.06079995632172
3320 / TBAI-25724226Z-260121-SpIuLC/2Rb8Zj-187 / 451.29249995946884 / 133.99109995365143
3330 / TBAI-96000372M-290121-NOZkIbBAPt273-111 / 445.4616000056267 / 125.41369998455048
